"","x"
"1","Actinomyces.02"
"2","Prevotella.01"
"3","Prevotella.02"
"4","TM7_genus_incertae_sedis.01"
"","x"
"1","Alicyclobacillus.01"
"2","TM7_genus_incertae_sedis.04"
"","x"
"1","Anaerococcus.01"
"2","Atopobium.02"
"3","Carnobacterium.01"
"4","Dolosigranulum.01"
"5","F.Pasteurellaceae.02"
"6","Fusobacterium.02"
"7","O.Actinomycetales.04"
"8","Peptoniphilus.01"
"9","Prevotella.07"
"","x"
"1","C.Gammaproteobacteria.03"
"2","C.Gammaproteobacteria.05"
"3","O.Bacteroidales.02"
"","x"
"1","Burkholderia.01"
"2","C.Gammaproteobacteria.06"
"3","C.Gammaproteobacteria.09"
"4","C.Gammaproteobacteria.10"
"5","Chryseobacterium.01"
"6","F.Burkholderiaceae.01"
"7","F.Burkholderiaceae.02"
"8","F.Prevotellaceae.03"
"9","Gp2.02"
"10","Lactobacillus.01"
"11","Metascardovia.01"
"12","Microbacterium.01"
"13","P.Firmicutes.01"
"14","Propionibacterium.02"
"15","Ralstonia.01"
"16","Rhizobium.01"
"","x"
"1","Capnocytophaga.01"
"2","Selenomonas.02"
"3","Sulfuricurvum.01"
"","x"
"1","F.Comamonadaceae.01"
"2","Paracoccus.01"
"3","Propionibacterium.01"
"4","Staphylococcus.01"
"5","TM7_genus_incertae_sedis.02"
"","x"
"1","F.Enterobacteriaceae.01"
"2","Gemella.01"
"3","Marinobacter.01"
"4","Pseudomonas.01"
"","x"
"1","Anaerococcus.02"
"2","Bulleidia.01"
"3","F.Alcaligenaceae.01"
"4","F.Erysipelotrichaceae.01"
"5","F.Neisseriaceae.01"
"6","O.Actinomycetales.02"
"7","Porphyromonas.03"
"8","Prevotella.05"
"9","Pseudomonas.02"
"","x"
"1","Acinetobacter.01"
"2","C.Gammaproteobacteria.02"
"3","C.Gammaproteobacteria.04"
"4","C.Gammaproteobacteria.08"
"5","C.Gammaproteobacteria.11"
"6","F.Pseudomonadaceae.01"
"7","F.Pseudomonadaceae.02"
"8","Gp2.01"
"9","O.Burkholderiales.01"
"","x"
"1","Dyella.01"
"2","F.Rhodocyclaceae.01"
"","x"
"1","Actinomyces.01"
"2","Atopobium.01"
"3","Eubacterium.01"
"4","F.Pasteurellaceae.01"
"5","Megasphaera.01"
"6","Prevotella.08"
"","x"
"1","F.Carnobacteriaceae.01"
"2","Neisseria.01"
"3","Streptococcus.01"
"","x"
"1","O.Clostridiales.05"
"2","Prevotella.06"
"","x"
"1","Mycoplasma.01"
"2","Parvimonas.03"
"3","Prevotella.10"
"","x"
"1","Catonella.01"
"2","Porphyromonas.02"
"3","Selenomonas.03"
"","x"
"1","Fusobacterium.01"
"2","Tannerella.01"
"3","Treponema.01"
"","x"
"1","C.Betaproteobacteria.01"
"2","Porphyromonas.01"
"3","TM7_genus_incertae_sedis.03"
"4","TM7_genus_incertae_sedis.07"
"","x"
"1","Acinetobacter.02"
"2","Bifidobacterium.01"
"3","C.Gammaproteobacteria.01"
"4","Peptoniphilus.02"
"5","Peptoniphilus.03"
"6","TM7_genus_incertae_sedis.05"
"7","TM7_genus_incertae_sedis.06"
"","x"
"1","C.Gammaproteobacteria.07"
"2","O.Clostridiales.02"
"3","Parvimonas.01"
"4","TM7_genus_incertae_sedis.08"
"","x"
"1","Peptostreptococcus.01"
"2","Prevotella.03"
"3","Solobacterium.01"
"4","Veillonella.01"
